Date,videoId,authorId,Username,Link,Description,Hashtags,musicAuthorName,musicTitle ,musicId,concatenated_stickerText,Code,Field Notes
2024-01-05,7320692414690168070,6672516878898709505,jaemndz_,https://www.tiktok.com/@6672516878898709505/video/7320692414690168070,"A male vlogger records his job interview for a remote virtual assistant role, discussing his professional background in Filipino. The interview chance emerged unexpectedly during a social gathering, illustrating the informal and flexible nature of remote work opportunities. This scenario emphasizes how the remote work culture can blend with personal life, offering a glimpse into the spontaneous and relaxed aspects of securing employment in the digital age.","#fyp #digitalnomad #zyxcba PS. Biglaan po yung interview, few hours notice lang eh nasa kalagitnaan ako ng inuman. 😬",Jae,original sound - Jae,7249702172345191214,['Yung may interview ka pero nasa inuman ka \U0001fae0'],"DR-PSC, HE-CE",Platform-Specific Content: Video tailored for digital nomad audience. Cultural Experiences: Content showcases local cultural experiences. 
2024-01-05,7320758154642476290,7029022774958687237,cultureseekermark,https://www.tiktok.com/@7029022774958687237/video/7320758154642476290,"An American vlogger discusses the culinary diversity in Brazil, focusing on the array of food types available in the country. In his commentary, he responds to inquiries or comments from a private account, which cannot be accessed for review. This interaction underscores the variety of Brazilian cuisine and highlights the interest in exploring and understanding the rich food culture of Brazil from an international perspective.",#brazil🇧🇷 #digitalnomad #brazilianfood #churrasco #pãodealho #ceviche,ciaffa,Aruarian Dance,7239132222652042026,['Food in 🇧🇷 '],"HE-CE, HE-CE",Culinary Experiences: Content focuses on local food and dining experiences. Cultural Experiences: Content showcases local cultural experiences. 
2024-01-04,7320311051302505733,7300557839415313414,tahseen_dastgir,https://www.tiktok.com/@7300557839415313414/video/7320311051302505733,"Two vloggers engage in a discussion on the process of enrolling in the Shopify Local E-Commerce program, aimed at initiating a venture into making money online. This conversation likely covers the steps required for registration, setting up an online store, selecting products, and leveraging Shopify's platform features to optimize sales. Through this dialogue, they aim to provide a roadmap for aspiring entrepreneurs to navigate the complexities of starting an e-commerce business, emphasizing the opportunities presented by Shopify for local and global commerce.",#digitalnomad #ecommerce #shopify,Tahseen Dastgir,original sound,7237941630907927302,,CA-PC,Promotional Content: Video includes sponsored or promotional material. 
2024-01-03,7319659007067606277,6798297387447092229,july.health,https://www.tiktok.com/@6798297387447092229/video/7319659007067606277,"A video features a young Asian woman addressing the camera, expressing her dedication to continue working on the frontlines amidst adversity, including bullying and burnout, attributed to the scarcity of healthcare workers.",#healthcareworkers #burnout #nursing #remotework #workfromhome #buildyourdreamlife #digitalnomad #nursetok #foryou #fyp,july health,original sound,7251206188728093483,"['PSA to healthcare girlies'], ['healthcare worker burnout']",CA-PC,Promotional Content: Video includes sponsored or promotional material. 
2024-01-03,7319955464068795690,6913017967311881222,ssandra.i,https://www.tiktok.com/@6913017967311881222/video/7319955464068795690,The women is role-playing - bargaining about the silk scarf with a arabic seller first in English and then suddenly give a very low offer in arabic and wins it.  Highlighting the necessety to speak a local language to ge the best deals. Not so related to digital nomadism,#egyptian #speakingarabic #haggling #negotiating #bargaining #skit #skits #travelhumor #travelmemes #digitalnomad #digitalnomadlife,sandra | full time travel ✈️,original sound,7251275594149743402,"['POV: you switch back from American to Egyptian'], ['POV: you switch back from American to Egyptian']",CA-PC,Promotional Content: Video includes sponsored or promotional material. 
2024-01-03,7319677747008228651,7045372108877202437,hola_lola27,https://www.tiktok.com/@7045372108877202437/video/7319677747008228651,"A photographic record showcases coastal landscapes, social gatherings, culinary experiences, and tourist attractions, accompanied by a musical auditory backdrop. This compilation aims to visually document and convey the ambiance and activities characteristic of the depicted locations, utilizing music to enhance the viewer's emotional and sensory engagement with the content.",#brasil🇧🇷 #riodejaneiro #traveltiktok #digitalnomad,ÁLVARO,som original,7329088687550401312,['Brasil 🇧🇷'],TA-VA,Visual-aural primacy: Video emphasizes visual or audio elements. 
2024-01-01,7319146100676496646,7262589822988190738,david.duffy1,https://www.tiktok.com/@7262589822988190738/video/7319146100676496646,"Vlog showcases colorful neon lights of a party in Thailand, and dynamic scenes of attendees enjoying music, dance, and cultural festivities characteristic of the event, showcasing the lively and visually striking aspects of the festival.",#thailandtravel #bangkok #thailand #neonfestival #digitalnomad #neonfestival2023  #musicfestival #djsnake #djsnakefans  #charlottedewitte #edm,Invis!ble Cats,"DJ Snake style EDM, KPOP beats(1172433)",7251941788389608198,,TA-VA,Visual-aural primacy: Video emphasizes visual or audio elements. 
2023-12-30,7318444921357094186,6795362597594366982,baileygoesoutside,https://www.tiktok.com/@6795362597594366982/video/7318444921357094186,"An American couple claiming they have sold everything, bought a huge motorhome, and went traveling for a year, they state that they do not regret their decision and vlogging highights of their adventures.",#rvlife #rvliving #nomadic #digitalnomad #fulltimetravel #dutchmenpartner #astoria,BaileyGoesOutside,original sound,7252796502089943854,"['“we should sell everything, buy a cheap RV, get remote jobs and travel for a year” ', 'January 2023', 'Orlando, FL', 'stationary living in the RV tor 2 months to get acclimated  before ✌️ing out ', 'March, 2023', 'March, 2023', 'April, 2023', 'May, 2023', 'June, 2023', 'July, 2023', 'August, 2023', 'September , 2023', 'October, 2023', 'November, 2023', 'December, 2023']","CA-PC, HE-SA",Promotional Content: Video includes sponsored or promotional material. Sport Activities: Video showcases sports or adventure activities. 
2023-12-30,7318233055850761473,7129426590244979717,penangfoodie,https://www.tiktok.com/@7129426590244979717/video/7318233055850761473,"The video shows food preparation on a street in Ipoh, Malaysia. It is tagged with digitalnomad to reach the audience, also tiktok used as an announcement",#derantau #digitalnomad #malaysiadigitalnomad #ipoh,Penang Foodie,original sound - Penang Foodie,7210191781932190506,['Halal Thai Street Food In Ipoh 🔥'],"CA-PC, HE-CE",Promotional Content: Video includes sponsored or promotional material. Culinary Experiences: Content focuses on local food and dining experiences. 
2023-12-29,7318025143354445061,7065933229908165659,helloelena_,https://www.tiktok.com/@7065933229908165659/video/7318025143354445061,"A solo traveling Filipino woman is dancing, holding a coconut drink. The video's caption, ""when you are deeply in love,"" coupled with pop music playing in the background, suggests a moment of joy and contentment, emphasizing the happiness and freedom associated with solo travel and experiencing new cultures.",#nbsb #nbsbtayo #digitalnomadlife #freelancingph #femalesolotraveler #digitalnomad #digitalnomadlifestyle #nbsb #eldestdaughter,alexa,T I N G I N,7252880551597312773,"['May 2024 be for us delulu hopeless romantic NBSB gurlies \U0001faf6🏽\n'], ['POV: 2024 is for us'], ['May 2024 be for us delulu hopeless romantic NBSB gurlies \U0001faf6🏽\n'], ['POV: 2024 is for us'], ['May 2024 be for us delulu hopeless romantic NBSB gurlies \U0001faf6🏽\n'], ['POV: 2024 is for us']","LC-PF, HE-CE, TA-AC",Personal & Spatial Freedom: Content emphasizes freedom of digital nomad lifestyle. Cultural Experiences: Content showcases local cultural experiences. Accessibility: Video includes features for improved accessibility. 
2023-12-28,7317759756297440518,7108023718399493126,viviswanderlust,https://www.tiktok.com/@7108023718399493126/video/7317759756297440518,"An enthusiastic man exclaims, ""Yes, come on!"" while brandishing airplane tickets. The accompanying caption reveals that his partner has chosen to leave a corporate position, opting instead for a year of travel and remote work. This decision is framed as a proactive step to avoid future regrets at life's end, emphasizing the pursuit of fulfillment over conventional employment.",#travelcouple #girlswhotravel #traveling #digitalnomad #Meme #MemeCut,Vivi’s Wanderlust,original sound,7253496438494153514,,"DR-PSC, CA-PC, TA-AC",Platform-Specific Content: Video tailored for digital nomad audience. Promotional Content: Video includes sponsored or promotional material. Accessibility: Video includes features for improved accessibility. 
2023-12-27,7317185664968133889,6782414525394502661,thewaqashassan,https://www.tiktok.com/@6782414525394502661/video/7317185664968133889,"A Pakistani vlogger explains to the camera the simplicity of obtaining an Azerbaijan visa within three days, emphasizing the lack of requirements for financial statements, flight bookings, or hotel confirmations. This information highlights the streamlined visa process for travelers from Pakistan to Azerbaijan, potentially facilitating easier travel planning and accessibility.",#VISA #digitalnomad #countries #AbroadStudy #smartwork #contentcreation #passiveincome #freelancing #world #waqashassn #studyabroad #digitalnomadvisa #Pakistan #india #Bangladesh #travel #traveltheworld #vacations #travelgoals #travelling #permanentresident #usatravel #usa #turkey #unitedstates,Waqas Hassan,original sound,7254245158559894298,,,
2023-12-16,7313182660824763691,7122162790249432107,juliosantosdesoto,https://www.tiktok.com/@7122162790249432107/video/7313182660824763691,"An American male, engaging with the camera while consuming food, articulates that he allocates ample time for self-care by adhering to a schedule where he awakens at 08:30 Central European Time and commences work at 14:00 for an American corporation.",#livingabroad #spain #digitalnomad  #remotework,Julio Santos-De Soto,original sound,7255108719233551110,"['#1 Reason I Love \nLiving In Spain'], ['#1 Reason I Love \nLiving In Spain']","CA-PC, HE-CE",Promotional Content: Video includes sponsored or promotional material. Culinary Experiences: Content focuses on local food and dining experiences. 
2023-12-16,7312975977657666862,6685819687970980869,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7312975977657666862,"An American content creator analyzes the cost of living and culinary diversity in Bali versus Houston on TikTok, emphasizing Bali's affordability and gastronomic experiences, starting with a distinctive visual introduction of females in bikini on a SUP board.",#bali #leavingamerica #livinginbali #travelbali #digitalnomad #expat #canggu #rentinbali #balivilla #balicost,L.Dre,Chillest in the Room,6787267480009050113,['Living In 🇮🇩 vs 🇺🇸 ✈️'],TA-VA,Visual-aural primacy: Video emphasizes visual or audio elements. 
2023-12-15,7312832352240028974,7148631020142068782,moeshaclayy,https://www.tiktok.com/@7148631020142068782/video/7312832352240028974,"The video outlines three accessible side hustles that are manageable for most individuals, highlighting that the creator either currently engages in or has previously undertaken these activities. This emphasis aims to lend credibility to the suggestions by demonstrating that the author has firsthand experience with the side hustles being recommended, suggesting their viability and potential for supplemental income. ",#digitalnomad #digitalproducts #2024sidehustles,Moesha Clay,original sound,7140416445183182849,"['3 EFFORTLESS SIDE HUSTLES for 2024. 💰', '1. Affiliate with Tiktok Shop as a Creator.', '2. Selling digital products ', '3. Print On Demand', 'ALLY BANK', 'FIDELITY ']",TA-AC,Accessibility: Video includes features for improved accessibility. 
2023-12-08,7310214809650269441,7130207819915674650,deedeeburmesevlog,https://www.tiktok.com/@7130207819915674650/video/7310214809650269441,"A video podcast features a Burmese individual discussing the digital nomad lifestyle and pathways to achieving it. Noteworthy is his incorporation of English terminology such as ""Digital Nomad,"" ""Remote Work,"" and ""Life Coach"" into his dialogue, suggesting a blend of local and global contexts. This presentation likely covers various aspects of adopting a nomadic lifestyle, from initial steps to fully embrace remote work to strategies for maintaining productivity and well-being on the road. By using specific English terms, the speaker bridges cultural and linguistic gaps, making the concept more accessible to a broader audience interested in exploring such a lifestyle while providing insights into the challenges and rewards of living and working remotely.",#deedeeburmesevlog #digitalnomad #fyptiktokmyanmar #incomeofdigitalnomad,DM Production,Epic Inspiration,7255333902133349121,,"DR-PSC, CA-PC, TA-AC, TA-RL",Platform-Specific Content: Video tailored for digital nomad audience. Promotional Content: Video includes sponsored or promotional material. Accessibility: Video includes features for improved accessibility. Relatability: Content aims to be relatable or participates in challenges. 
2023-12-08,7310115903788616992,7031870523195163654,howtotravelfulltime,https://www.tiktok.com/@7031870523195163654/video/7310115903788616992,"A blonde British female vlogger addresses the camera from a swimming pool in Bali, contrasting the dreariness and high cost of living in England with her current lifestyle. She reflects on the grueling routine of working shifts in England, where the cycle of returning home merely to sleep before repeating the process feels devoid of actual living. She poses the question, ""Where is the living?"" to highlight the lack of fulfillment and quality of life in her past routine, emphasizing her search for a more meaningful and enjoyable existence.",#digitalnomad,Casey ☀️ Content Creator 🌴✈️,original sound,7041298260215991045,"['Why\xa0I\xa0left\xa0the\xa0UK\xa0🇬🇧\xa0\nfor\xa0good\xa0👋', 'Leaving\xa0the\xa0uk.\xa0Move\xa0abroad.\xa0How\xa0to\xa0move\xa0abroad.\xa0Leave\xa0England\xa0to\xa0live\xa0in\xa0another\xa0country.\xa0Bali.\xa0South\xa0east\xa0Asia\xa0']","CA-PC, ET-PM",Promotional Content: Video includes sponsored or promotional material. Purpose and Meaning: Video discusses finding purpose in life or work. 
2023-12-06,7309514937884216608,6851323926238004229,pete_morgan,https://www.tiktok.com/@6851323926238004229/video/7309514937884216608,"A male vlogger discusses Brazil and specifically Rio de Janeiro, focusing on the lifestyle characterized by a lesser emphasis on work and a greater engagement with events, coupled with the availability of quality food and affordable accommodation. ",#gringoinbrazil #digitalnomad #riodejaneiro,Declan McKenna,Brazil,7063179878732221189,"['Biggest observations I’ve made as a Brit 🇬🇧 living in Rio de Janeiro 🇧🇷', 'So far…', '1. Climate ', 'Obvious one I know', 'Sig. hotter all year round', 'Anything lower than 15 degrees is regarded as ‘cold’ 😳', 'Seasons are inverted so we’re about to enter summer', 'Seasons are inverted so we’re about to enter summer', 'Which makes seeing Xmas decorations very strange 🥴', 'Which makes seeing Xmas decorations very strange 🥴', '2. Events', 'I lived in Cardiff and Manchester before moving here ', 'But the amount of things to do and see here is on another level', 'Any day\nAny time\nAny budget \nAny interest ', 'The best bit is you don’t get FOMO for missing an event because there’ll be something even bigger one tomorrow ', '3. Work/life balance ', 'So much more of a relaxed culture', '* I can only talk for Rio and am not generalising about a whole population ', 'I’ve been here 7 weeks and there’s already been 4 bank holidays ', 'The best way I’ve heard it described is \n\n“People in Europe and US live to work and people here work to live” ', '4. Natural Scenery', 'Absolutely unbelievable.', 'Quite easily some of the best views and settings I’ve ever seen', 'It manages to have…\n\nMountains', 'World famous beaches', 'Rainforests! ', 'And incredible viewpoints', 'Within 30 minutes of a giant metropolis! ']",HE-CE,Culinary Experiences: Content focuses on local food and dining experiences. 
2023-12-06,7309510960597781793,6812300776481489926,melchekaoui,https://www.tiktok.com/@6812300776481489926/video/7309510960597781793,"A female vlogger displays the large canned cosmetic products that her parents delivered to her in an Ikea bag. Residing in Bali as a digital nomad, she highlights the difficulty of purchasing or importing such items locally, emphasizing the contrast between her current lifestyle and the availability of certain products she's accustomed to.",#haultok #haul #recentpurchases #essentialitems #girlessentials #unboxwithme #unboxinghaul #skincareproducts #balilifestyle #digitalnomad #expatlife,Melissa Chekaoui,original sound,7205251025777920774,"['unboxing\xa0my\xa0bali\xa0life\ncare-package\xa0❤️\u200d\U0001fa79'], ['unboxing my bali life care-package ❤️\u200d\U0001fa79']",CA-PC,Promotional Content: Video includes sponsored or promotional material. 
2023-12-05,7309164294237654315,6807864045137757189,vianaturley,https://www.tiktok.com/@6807864045137757189/video/7309164294237654315,"A female vloggs her morning routines with small children in Thailand were she is living with her family. She is talking about the cost of raising children, the cost of accomodation and food for the whole family.",#morningvlog #thailandvlog #thailandliving #livingabroad #thailandtiktok #digitalnomad #expatlife #realisticmorningroutine #thailand,Natalie 🇹🇭🇺🇸,original sound,7244409915454802730,"['spend the morning with me living abroad 🇹🇭'], ['morning living abroad 🇹🇭 ']",HE-CE,Culinary Experiences: Content focuses on local food and dining experiences. 
2023-12-05,7309151515015515435,6724641833585181701,cnbcmakeit,https://www.tiktok.com/@6724641833585181701/video/7309151515015515435,"CNN broadcast about Americans relocating to Mexico City focus on the growing trend of individuals seeking an improved lifestyle in terms of cost of living, culture, and climate. The broadcast explores the reasons behind this migration, including the search for a more affordable lifestyle, rich cultural experiences, and a desire for a different pace of life. Interviews with American expatriates could provide personal insights into the adjustments, benefits, and challenges of settling in Mexico City, as well as the impact of this trend on local communities and economies.",#soulfood #restaurant #CNBCMakeIt #digitalnomad,CNBC Make It,original sound,7197505126058330114,,"CA-PC, HE-CE, TA-DI, TA-RL",Promotional Content: Video includes sponsored or promotional material. Cultural Experiences: Content showcases local cultural experiences. Discoverability: Content uses hashtags or trends for visibility. Relatability: Content aims to be relatable or participates in challenges. 
2023-12-05,7309035250145856786,7202909611166139419,japankatiger,https://www.tiktok.com/@7202909611166139419/video/7309035250145856786,Photo log with shifting picture of autumm in the mountains and in the street of unknown town,#EverydayAdventure #EverydayAdventure #LearningCurve #FriendshipGoals #DigitalNomad #SelfDiscovery #SunsetDreams @Usmån Khan,Usmån Khan,original sound,7189722267354090245,,,
2023-12-04,7308529274514902274,6637666681156714501,andjustlikepat,https://www.tiktok.com/@6637666681156714501/video/7308529274514902274,"The video showcases various international travel destinations, positing 2024 as an opportune moment for relocation abroad, accompanied by an invitation for direct messaging for further information, authored by a lifestyle coach.",#movingabroad #digitalnomad #livingabroad #iwantout #lifeabroad #studyabroad,VØJ & Narvent,Memory Reboot,7133477048550426625,"['This is your sign to move abroad 2024', 'Make 2024 the year of change. ', 'DM to find out more ']",CA-PC,Promotional Content: Video includes sponsored or promotional material. 
2023-12-04,7308661935162035463,282843165722599424,techfren,https://www.tiktok.com/@282843165722599424/video/7308661935162035463,"The male vlogger presents a screen-sharing session to guide viewers through the application process for an AI engineer role with a salary of $400,000. Throughout the demonstration, he humorously comments on the occasionally unrealistic job requirements and critiques the platform's persuasive tactics, like notifications stating ""you are now top 5 of the candidates."" The video concludes abruptly, leaving the discussion on these observations unexpectedly unfinished.





",#softwareengineer #computerscience #aiengineer #chatgpt #jobsearch #interview #codingchallenge #javascript #database #remotejob #digitalnomad #siliconvalley #openai,techfren,original sound,7257993148444511018,,,
2023-12-04,7308687518856187178,6814855456721699845,bonniengaii,https://www.tiktok.com/@6814855456721699845/video/7308687518856187178,"A female v-logger is telling a story of her spenfing the first night of her backpacking trip sleeping in a hotel lobby after a 39 hour travel day, she is sleep deprived an wants to take a shower and laydown, but she has to wait until the hotel reception will open. Her friend arranged so that the key to her room would wait for her at the reception, but when she arrived there were no key. ",#travel #travellife #storytime #germany #traveltok #europetravel #europetok #seetheworld #travelstories #traveltips #travelinspo #vlog #digitalnomad #backpacking #hotellife,Bonnie Ngai,original sound,7257855821487622938,,,
2023-12-04,7308809314607566123,6683978821923881989,isabellamjohn,https://www.tiktok.com/@6683978821923881989/video/7308809314607566123,"In a sequence of two images: one portrays a girl gazing directly at the camera, and the other captures a trio frolicking in the ocean at sunset. Accompanying text expresses an ongoing effort to persuade friends to relocate abroad, noting a proficiency in doing so.",#traveltok #digitalnomad #remotework #travellife,Sophie Ellis-Bextor,Murder On The Dancefloor,7258033359098481450,,"CA-PC, HE-SE",Promotional Content: Video includes sponsored or promotional material. Shared Experiences & Bonding: Video depicts social interactions and community. 
